# name ra dec flux_a1100 flux_a1400 flux_a2000
src7871 269.20209 1.11125 0.243 0.125 0.043
src7872 269.20285 1.69494 0.243 0.147 0.060
src7873 269.37595 1.45984 0.243 0.119 0.039
src7874 269.16268 1.13181 0.243 0.122 0.041
src7875 269.44032 1.41139 0.243 0.115 0.036
src7876 269.48632 1.43957 0.243 0.133 0.049
src7877 269.32609 1.24788 0.243 0.112 0.035
src7878 269.61167 1.16495 0.243 0.124 0.042
src7879 269.65510 1.63574 0.243 0.116 0.037
src7880 269.53008 1.02755 0.243 0.115 0.037
src7881 269.35835 1.64461 0.243 0.112 0.035
src7882 269.03012 1.44870 0.243 0.115 0.036
src7883 269.44642 1.22894 0.243 0.116 0.037
src7884 269.25205 1.60694 0.243 0.118 0.039
src7885 269.12150 1.05876 0.243 0.119 0.039
src7886 269.48066 1.47954 0.243 0.112 0.035
src7887 269.37346 1.08088 0.243 0.120 0.040
src7888 269.70361 1.44809 0.242 0.116 0.037
src7889 269.59320 1.61846 0.242 0.115 0.037
src7890 269.14770 1.32680 0.242 0.138 0.053
src7891 269.67654 1.61045 0.242 0.121 0.041
src7892 269.47516 1.37382 0.242 0.133 0.049
src7893 269.32434 1.31497 0.242 0.117 0.038
src7894 269.11736 1.22384 0.242 0.128 0.045
src7895 269.35480 1.45814 0.242 0.114 0.036
src7896 269.16480 1.35192 0.242 0.150 0.063
src7897 269.22176 1.47479 0.242 0.135 0.051
src7898 269.05831 1.27774 0.242 0.114 0.036
src7899 269.42477 1.11455 0.242 0.145 0.058
src7900 269.05384 1.57982 0.242 0.136 0.052
src7901 269.30067 1.62871 0.242 0.117 0.038
src7902 269.33555 1.16866 0.242 0.134 0.050
src7903 269.66273 1.70363 0.242 0.125 0.044
src7904 269.38408 1.42023 0.242 0.142 0.056
src7905 269.27284 1.59818 0.242 0.113 0.035
src7906 269.30659 1.64965 0.242 0.117 0.038
src7907 269.65963 1.34527 0.242 0.116 0.038
src7908 269.07071 1.38042 0.242 0.128 0.046
src7909 269.07255 1.67780 0.242 0.120 0.040
src7910 269.50135 1.16606 0.242 0.134 0.050
src7911 269.60589 1.38883 0.242 0.120 0.040
src7912 269.20396 1.49186 0.242 0.146 0.060
src7913 269.35403 1.66626 0.242 0.117 0.038
src7914 269.39558 1.41874 0.242 0.114 0.036
src7915 269.34821 1.55456 0.242 0.145 0.059
src7916 269.44438 1.66745 0.242 0.114 0.036
src7917 269.33743 1.40239 0.242 0.120 0.040
src7918 269.35414 1.53129 0.242 0.111 0.034
src7919 269.44553 1.12652 0.242 0.117 0.038
src7920 269.14941 1.39941 0.242 0.114 0.036
src7921 269.63007 1.42313 0.242 0.118 0.039
src7922 269.19372 1.26019 0.242 0.146 0.059
src7923 269.42879 1.65475 0.242 0.117 0.038
src7924 269.48676 1.08525 0.242 0.123 0.042
src7925 269.39192 1.69944 0.242 0.116 0.037
src7926 269.29886 1.45932 0.241 0.121 0.041
src7927 269.50194 1.17596 0.241 0.134 0.050
src7928 269.42276 1.14598 0.241 0.115 0.037
src7929 269.28585 1.53856 0.241 0.146 0.060
src7930 269.35250 1.42182 0.241 0.147 0.060
src7931 269.35910 1.03768 0.241 0.112 0.035
src7932 269.02532 1.29937 0.241 0.117 0.038
src7933 269.46658 1.53844 0.241 0.123 0.042
src7934 269.59773 1.24929 0.241 0.145 0.059
src7935 269.46867 1.17285 0.241 0.124 0.043
src7936 269.18439 1.25725 0.241 0.113 0.036
src7937 269.56581 1.48156 0.241 0.116 0.037
src7938 269.44816 1.66473 0.241 0.118 0.039
src7939 269.10107 1.12421 0.241 0.123 0.042
src7940 269.48396 1.60542 0.241 0.115 0.037
src7941 269.64961 1.39337 0.241 0.124 0.043
src7942 269.66919 1.60637 0.241 0.117 0.038
src7943 269.57810 1.07952 0.241 0.112 0.035
src7944 269.69588 1.08776 0.241 0.115 0.037
src7945 269.31026 1.28093 0.241 0.118 0.039
src7946 269.05304 1.61698 0.241 0.143 0.057
src7947 269.14501 1.18402 0.241 0.112 0.035
src7948 269.68325 1.25006 0.241 0.114 0.036
src7949 269.59046 1.06383 0.241 0.120 0.040
src7950 269.69509 1.18181 0.241 0.125 0.044
src7951 269.55905 1.22397 0.241 0.113 0.035
src7952 269.03397 1.67374 0.241 0.120 0.040
src7953 269.59593 1.08567 0.241 0.131 0.048
src7954 269.66090 1.61218 0.241 0.145 0.059
src7955 269.19126 1.09784 0.241 0.136 0.052
src7956 269.69920 1.54774 0.241 0.123 0.042
src7957 269.61124 1.57729 0.241 0.112 0.035
src7958 269.63948 1.51141 0.241 0.115 0.037
src7959 269.29458 1.37809 0.241 0.113 0.036
src7960 269.04319 1.00779 0.241 0.123 0.042
src7961 269.29611 1.16850 0.241 0.130 0.047
src7962 269.47594 1.66014 0.241 0.112 0.035
src7963 269.46961 1.64609 0.240 0.139 0.054
src7964 269.31492 1.24454 0.240 0.119 0.040
src7965 269.35586 1.36836 0.240 0.122 0.042
src7966 269.21512 1.19621 0.240 0.141 0.056
src7967 269.61935 1.44926 0.240 0.124 0.043
src7968 269.55520 1.60886 0.240 0.129 0.046
src7969 269.64845 1.04359 0.240 0.135 0.051
src7970 269.00657 1.54499 0.240 0.114 0.037
src7971 269.35023 1.06083 0.240 0.138 0.053
src7972 269.03203 1.33497 0.240 0.135 0.051
src7973 269.25078 1.32270 0.240 0.121 0.041
src7974 269.08880 1.52660 0.240 0.116 0.038
src7975 269.50221 1.18640 0.240 0.113 0.036
src7976 269.53377 1.31534 0.240 0.125 0.044
src7977 269.68118 1.65745 0.240 0.120 0.041
src7978 269.19172 1.13255 0.240 0.114 0.036
src7979 269.13396 1.10951 0.240 0.119 0.039
src7980 269.55207 1.05739 0.240 0.112 0.035
src7981 269.29673 1.17663 0.240 0.117 0.039
src7982 269.57540 1.26825 0.240 0.121 0.041
src7983 269.29703 1.20257 0.240 0.115 0.037
src7984 269.49097 1.04349 0.240 0.135 0.051
src7985 269.29835 1.63053 0.240 0.117 0.038
src7986 269.70194 1.26752 0.240 0.129 0.046
src7987 269.06109 1.30139 0.240 0.116 0.038
src7988 269.44296 1.37529 0.240 0.131 0.048
src7989 269.21073 1.09813 0.240 0.112 0.035
src7990 269.48147 1.59747 0.240 0.116 0.038
src7991 269.51763 1.07556 0.240 0.117 0.039
src7992 269.33961 1.56355 0.240 0.111 0.035
src7993 269.63250 1.23090 0.240 0.128 0.046
src7994 269.08367 1.18221 0.240 0.145 0.059
src7995 269.55110 1.02363 0.240 0.118 0.039
src7996 269.13421 1.26245 0.239 0.119 0.040
src7997 269.34463 1.37115 0.239 0.115 0.037
src7998 269.29558 1.46938 0.239 0.120 0.041
src7999 269.44227 1.29168 0.239 0.123 0.042
src8000 269.27537 1.66877 0.239 0.115 0.037
src8001 269.53949 1.54394 0.239 0.131 0.049
src8002 269.28615 1.31673 0.239 0.125 0.044
src8003 269.55486 1.25906 0.239 0.110 0.034
src8004 269.03286 1.07971 0.239 0.125 0.044
src8005 269.57250 1.49085 0.239 0.123 0.043
src8006 269.28332 1.43144 0.239 0.118 0.039
src8007 269.65687 1.60585 0.239 0.112 0.035
src8008 269.50963 1.03624 0.239 0.114 0.036
src8009 269.09868 1.16456 0.239 0.113 0.036
src8010 269.54445 1.23945 0.239 0.136 0.052
src8011 269.40522 1.51903 0.239 0.111 0.035
src8012 269.31035 1.45407 0.239 0.130 0.048
src8013 269.47613 1.46766 0.239 0.130 0.048
src8014 269.42758 1.40391 0.239 0.115 0.037
src8015 269.08640 1.12627 0.239 0.112 0.035
src8016 269.40161 1.47964 0.239 0.119 0.040
src8017 269.09751 1.30838 0.239 0.142 0.057
src8018 269.39722 1.10804 0.239 0.140 0.056
src8019 269.35899 1.05910 0.239 0.118 0.040
src8020 269.26693 1.57021 0.239 0.122 0.042
src8021 269.61592 1.22406 0.239 0.110 0.034
src8022 269.34601 1.61330 0.239 0.114 0.036
src8023 269.05859 1.61270 0.239 0.113 0.036
src8024 269.57655 1.42780 0.239 0.113 0.036
src8025 269.48140 1.16167 0.239 0.112 0.035
src8026 269.69631 1.29659 0.239 0.119 0.040
src8027 269.02516 1.04181 0.239 0.113 0.036
src8028 269.25739 1.25190 0.239 0.125 0.044
src8029 269.21528 1.23644 0.239 0.111 0.034
src8030 269.25316 1.57940 0.239 0.111 0.034
src8031 269.06430 1.14505 0.239 0.115 0.037
src8032 269.22582 1.19050 0.238 0.124 0.044
src8033 269.01393 1.40951 0.238 0.110 0.034
src8034 269.49965 1.06022 0.238 0.110 0.034
src8035 269.46804 1.49076 0.238 0.137 0.053
src8036 269.21134 1.13588 0.238 0.112 0.036
src8037 269.30772 1.61366 0.238 0.111 0.035
src8038 269.37316 1.18411 0.238 0.113 0.036
src8039 269.05233 1.58163 0.238 0.111 0.035
src8040 269.52201 1.36462 0.238 0.148 0.062
src8041 269.18894 1.24968 0.238 0.137 0.053
src8042 269.49179 1.52977 0.238 0.117 0.038
src8043 269.58494 1.37834 0.238 0.134 0.050
src8044 269.07300 1.67798 0.238 0.122 0.042
src8045 269.11580 1.06291 0.238 0.151 0.065
src8046 269.08645 1.14606 0.238 0.132 0.049
src8047 269.42074 1.44700 0.238 0.109 0.034
src8048 269.45399 1.00857 0.238 0.112 0.035
src8049 269.01310 1.13184 0.238 0.117 0.039
src8050 269.70292 1.53426 0.238 0.116 0.038
src8051 269.29463 1.63662 0.238 0.110 0.034
src8052 269.69491 1.25590 0.238 0.121 0.041
src8053 269.38167 1.36465 0.238 0.112 0.036
src8054 269.31509 1.32675 0.238 0.124 0.043
src8055 269.62786 1.04162 0.238 0.113 0.036
src8056 269.50563 1.63416 0.238 0.114 0.037
src8057 269.51134 1.32234 0.238 0.111 0.035
src8058 269.33203 1.55680 0.238 0.136 0.052
src8059 269.64959 1.28487 0.238 0.141 0.056
src8060 269.43103 1.45447 0.238 0.112 0.036
src8061 269.23795 1.50879 0.238 0.114 0.037
src8062 269.05160 1.30224 0.238 0.131 0.049
src8063 269.45401 1.01003 0.238 0.141 0.057
src8064 269.33009 1.69717 0.238 0.115 0.038
src8065 269.03914 1.18703 0.238 0.120 0.041
src8066 269.32624 1.50982 0.238 0.113 0.036
src8067 269.69101 1.07772 0.238 0.138 0.054
src8068 269.32361 1.68473 0.238 0.114 0.037
src8069 269.43151 1.06686 0.238 0.136 0.053
src8070 269.47735 1.42049 0.238 0.140 0.055
src8071 269.25516 1.16774 0.237 0.136 0.053
src8072 269.00853 1.13740 0.237 0.115 0.038
src8073 269.63368 1.04131 0.237 0.126 0.045
src8074 269.54521 1.40449 0.237 0.120 0.041
src8075 269.27980 1.06124 0.237 0.116 0.038
src8076 269.08754 1.64484 0.237 0.113 0.036
src8077 269.15190 1.38384 0.237 0.132 0.049
src8078 269.41517 1.51784 0.237 0.113 0.036
src8079 269.08961 1.18318 0.237 0.117 0.039
src8080 269.38257 1.31801 0.237 0.117 0.038
src8081 269.34594 1.11698 0.237 0.138 0.054
src8082 269.14229 1.53351 0.237 0.114 0.037
src8083 269.23552 1.62764 0.237 0.121 0.041
src8084 269.26771 1.13013 0.237 0.134 0.051
src8085 269.27637 1.63746 0.237 0.112 0.035
src8086 269.56004 1.10459 0.237 0.122 0.042
src8087 269.02261 1.28680 0.237 0.140 0.056
src8088 269.64791 1.65853 0.237 0.123 0.043
src8089 269.12447 1.21816 0.237 0.115 0.037
src8090 269.60278 1.53663 0.237 0.121 0.041
src8091 269.24733 1.64197 0.237 0.130 0.048
src8092 269.67759 1.57772 0.237 0.125 0.044
src8093 269.52629 1.55984 0.237 0.111 0.035
src8094 269.40844 1.37477 0.237 0.131 0.049
src8095 269.44143 1.24803 0.237 0.116 0.038
src8096 269.08583 1.54789 0.237 0.111 0.035
src8097 269.14400 1.08601 0.237 0.113 0.036
src8098 269.26831 1.58431 0.237 0.115 0.038
src8099 269.21683 1.19003 0.237 0.125 0.044
src8100 269.22463 1.66648 0.237 0.110 0.034
src8101 269.44621 1.54581 0.237 0.117 0.039
src8102 269.58007 1.20849 0.237 0.118 0.039
src8103 269.05038 1.17628 0.237 0.115 0.037
src8104 269.04146 1.54695 0.237 0.113 0.036
src8105 269.13013 1.03992 0.237 0.122 0.042
src8106 269.35270 1.18779 0.237 0.114 0.037
src8107 269.45724 1.67701 0.237 0.115 0.038
src8108 269.35939 1.50317 0.237 0.110 0.034
src8109 269.56965 1.14497 0.237 0.144 0.059
src8110 269.48340 1.48099 0.237 0.123 0.043
src8111 269.45396 1.03734 0.237 0.109 0.034
src8112 269.56752 1.40257 0.237 0.113 0.036
src8113 269.48624 1.14253 0.236 0.115 0.038
src8114 269.28718 1.35151 0.236 0.116 0.038
src8115 269.26879 1.27018 0.236 0.132 0.050
src8116 269.39025 1.44866 0.236 0.126 0.045
src8117 269.61841 1.34186 0.236 0.112 0.036
src8118 269.07210 1.63890 0.236 0.112 0.036
src8119 269.70329 1.15962 0.236 0.116 0.039
src8120 269.16786 1.06234 0.236 0.130 0.048
src8121 269.52082 1.57806 0.236 0.121 0.042
src8122 269.44423 1.26103 0.236 0.124 0.044
src8123 269.58455 1.36953 0.236 0.114 0.037
src8124 269.33776 1.08968 0.236 0.111 0.035
src8125 269.35653 1.53116 0.236 0.133 0.050
src8126 269.07439 1.26187 0.236 0.110 0.034
src8127 269.42477 1.19998 0.236 0.119 0.040
src8128 269.51653 1.68345 0.236 0.113 0.037
src8129 269.59400 1.30589 0.236 0.119 0.040
src8130 269.55663 1.20101 0.236 0.110 0.035
src8131 269.23614 1.30550 0.236 0.112 0.036
src8132 269.47822 1.20951 0.236 0.130 0.048
src8133 269.35392 1.36235 0.236 0.113 0.036
src8134 269.41039 1.48470 0.236 0.113 0.037
src8135 269.60596 1.12083 0.236 0.119 0.040
src8136 269.24933 1.61007 0.236 0.115 0.037
src8137 269.39868 1.17242 0.236 0.111 0.035
src8138 269.32025 1.48060 0.236 0.131 0.049
src8139 269.59934 1.39396 0.236 0.139 0.055
src8140 269.30142 1.07722 0.236 0.128 0.047
src8141 269.66508 1.03398 0.236 0.111 0.035
src8142 269.46516 1.16329 0.236 0.113 0.036
src8143 269.29945 1.52020 0.236 0.111 0.035
src8144 269.18862 1.54334 0.236 0.122 0.042
src8145 269.01960 1.62727 0.236 0.117 0.039
src8146 269.35606 1.43413 0.236 0.116 0.038
src8147 269.15692 1.33916 0.236 0.109 0.034
src8148 269.49971 1.58949 0.236 0.118 0.039
src8149 269.03991 1.16618 0.236 0.131 0.049
src8150 269.53355 1.64789 0.236 0.117 0.039
src8151 269.34161 1.11634 0.236 0.119 0.040
src8152 269.63294 1.61112 0.236 0.138 0.054
src8153 269.30057 1.65447 0.236 0.115 0.038
src8154 269.20990 1.08941 0.236 0.127 0.046
src8155 269.66332 1.42599 0.236 0.130 0.048
src8156 269.29945 1.37057 0.236 0.111 0.035
src8157 269.15973 1.41197 0.236 0.111 0.035
src8158 269.58536 1.67896 0.236 0.112 0.036
src8159 269.70222 1.58488 0.236 0.116 0.038
src8160 269.30345 1.38875 0.236 0.142 0.057
src8161 269.60771 1.39723 0.236 0.115 0.038
src8162 269.10377 1.10612 0.236 0.116 0.038
src8163 269.36866 1.70568 0.235 0.121 0.042
src8164 269.24690 1.07526 0.235 0.112 0.036
src8165 269.61675 1.32117 0.235 0.114 0.037
src8166 269.61188 1.56691 0.235 0.114 0.037
src8167 269.15719 1.66808 0.235 0.109 0.034
src8168 269.06892 1.39752 0.235 0.113 0.036
src8169 269.41477 1.12816 0.235 0.112 0.036
src8170 269.63989 1.15495 0.235 0.126 0.046
src8171 269.45724 1.48646 0.235 0.125 0.045
src8172 269.60536 1.22079 0.235 0.124 0.044
src8173 269.67346 1.51418 0.235 0.136 0.053
src8174 269.70691 1.02033 0.235 0.110 0.034
src8175 269.31480 1.43199 0.235 0.114 0.037
src8176 269.54736 1.16597 0.235 0.110 0.034
src8177 269.60351 1.57264 0.235 0.112 0.036
src8178 269.53386 1.15566 0.235 0.111 0.035
src8179 269.24609 1.49576 0.235 0.113 0.037
src8180 269.32678 1.58226 0.235 0.109 0.034
src8181 269.10103 1.12157 0.235 0.117 0.039
src8182 269.07740 1.44701 0.235 0.120 0.041
src8183 269.53544 1.02535 0.235 0.122 0.043
src8184 269.05914 1.24317 0.235 0.132 0.050
src8185 269.69338 1.54205 0.235 0.115 0.038
src8186 269.21587 1.01745 0.235 0.139 0.055
src8187 269.52577 1.60717 0.235 0.126 0.045
src8188 269.66276 1.60865 0.235 0.117 0.039
src8189 269.44769 1.37947 0.235 0.116 0.038
src8190 269.64147 1.58222 0.235 0.108 0.033
src8191 269.55609 1.03166 0.235 0.132 0.050
src8192 269.70003 1.26868 0.235 0.144 0.060
src8193 269.21862 1.44140 0.235 0.131 0.049
src8194 269.06722 1.68940 0.235 0.152 0.066
src8195 269.41906 1.46523 0.235 0.113 0.036
src8196 269.50858 1.62695 0.235 0.117 0.039
src8197 269.64489 1.08680 0.235 0.113 0.036
src8198 269.01875 1.35996 0.235 0.147 0.062
src8199 269.13456 1.04099 0.235 0.109 0.034
src8200 269.16413 1.68294 0.235 0.116 0.039
src8201 269.24131 1.06281 0.235 0.113 0.037
src8202 269.38562 1.25648 0.235 0.114 0.037
src8203 269.25041 1.68584 0.235 0.123 0.043
src8204 269.00597 1.69911 0.235 0.111 0.035
src8205 269.41613 1.62792 0.235 0.113 0.036
src8206 269.43658 1.22477 0.235 0.118 0.040
src8207 269.34416 1.65536 0.235 0.153 0.067
src8208 269.29393 1.42067 0.235 0.146 0.061
src8209 269.06173 1.45769 0.235 0.111 0.035
src8210 269.00531 1.42748 0.235 0.116 0.038
src8211 269.53826 1.49062 0.234 0.108 0.033
src8212 269.70808 1.66186 0.234 0.117 0.039
src8213 269.42048 1.51846 0.234 0.112 0.036
src8214 269.08012 1.09536 0.234 0.138 0.055
src8215 269.35377 1.59926 0.234 0.110 0.035
src8216 269.14384 1.06707 0.234 0.111 0.035
src8217 269.03062 1.06620 0.234 0.141 0.058
src8218 269.28338 1.31300 0.234 0.119 0.041
src8219 269.05450 1.55393 0.234 0.113 0.037
src8220 269.15828 1.32471 0.234 0.115 0.038
src8221 269.16339 1.35876 0.234 0.149 0.064
src8222 269.63695 1.01389 0.234 0.144 0.060
src8223 269.26998 1.15703 0.234 0.127 0.046
src8224 269.24855 1.00687 0.234 0.119 0.041
src8225 269.49459 1.06446 0.234 0.120 0.041
src8226 269.48627 1.26406 0.234 0.120 0.041
src8227 269.30394 1.68793 0.234 0.110 0.035
src8228 269.21746 1.12824 0.234 0.129 0.048
src8229 269.59638 1.32223 0.234 0.122 0.043
src8230 269.11735 1.39743 0.234 0.121 0.042
src8231 269.30238 1.52476 0.234 0.108 0.034
src8232 269.31589 1.13728 0.234 0.112 0.036
src8233 269.23436 1.50225 0.234 0.110 0.035
src8234 269.14383 1.18736 0.234 0.116 0.039
src8235 269.25312 1.18308 0.234 0.125 0.045
src8236 269.56628 1.69029 0.234 0.107 0.033
src8237 269.19464 1.38807 0.234 0.115 0.038
src8238 269.41048 1.55140 0.234 0.124 0.044
src8239 269.47617 1.56949 0.234 0.126 0.046
src8240 269.07141 1.25511 0.234 0.134 0.052
src8241 269.55805 1.47473 0.234 0.120 0.042
src8242 269.16352 1.18507 0.234 0.114 0.037
src8243 269.15086 1.70309 0.234 0.117 0.040
src8244 269.01428 1.40162 0.234 0.116 0.038
src8245 269.46007 1.39671 0.234 0.126 0.046
src8246 269.22283 1.53337 0.234 0.118 0.040
src8247 269.52913 1.19805 0.234 0.115 0.038
src8248 269.34965 1.46679 0.234 0.111 0.036
src8249 269.36318 1.70850 0.233 0.122 0.043
src8250 269.01743 1.23060 0.233 0.123 0.044
src8251 269.39191 1.24214 0.233 0.113 0.037
src8252 269.11510 1.28773 0.233 0.119 0.041
src8253 269.10427 1.60475 0.233 0.116 0.038
src8254 269.53840 1.09659 0.233 0.112 0.036
src8255 269.48013 1.58560 0.233 0.109 0.034
src8256 269.62119 1.57111 0.233 0.108 0.034
src8257 269.64265 1.50621 0.233 0.115 0.038
src8258 269.65552 1.58126 0.233 0.110 0.035
src8259 269.58172 1.56725 0.233 0.111 0.035
src8260 269.58251 1.55098 0.233 0.115 0.038
src8261 269.19468 1.59773 0.233 0.126 0.046
src8262 269.48473 1.06890 0.233 0.107 0.033
src8263 269.12032 1.43235 0.233 0.119 0.041
src8264 269.17357 1.21449 0.233 0.109 0.034
src8265 269.15530 1.39899 0.233 0.145 0.061
src8266 269.62015 1.66609 0.233 0.112 0.036
src8267 269.21673 1.16810 0.233 0.109 0.034
src8268 269.66013 1.17558 0.233 0.111 0.036
src8269 269.07279 1.20101 0.233 0.115 0.038
src8270 269.65138 1.63025 0.233 0.113 0.037
src8271 269.42006 1.62426 0.233 0.113 0.037
src8272 269.34831 1.37999 0.233 0.119 0.041
src8273 269.34433 1.45192 0.233 0.114 0.037
src8274 269.16223 1.32535 0.233 0.120 0.041
src8275 269.02707 1.19756 0.233 0.120 0.042
src8276 269.70131 1.39598 0.233 0.117 0.039
src8277 269.13239 1.20037 0.233 0.125 0.045
src8278 269.20754 1.38152 0.233 0.115 0.038
src8279 269.63322 1.08995 0.233 0.113 0.037
src8280 269.27315 1.60851 0.233 0.112 0.036
src8281 269.55399 1.57500 0.233 0.135 0.053
src8282 269.32109 1.51022 0.233 0.111 0.035
src8283 269.16296 1.31190 0.233 0.109 0.035
src8284 269.06373 1.29379 0.233 0.128 0.048
src8285 269.59763 1.18216 0.233 0.108 0.034
src8286 269.64287 1.11641 0.233 0.115 0.039
src8287 269.67387 1.33263 0.233 0.108 0.033
src8288 269.21194 1.24916 0.233 0.111 0.035
src8289 269.06330 1.14543 0.233 0.115 0.038
src8290 269.43191 1.30725 0.233 0.112 0.036
src8291 269.39428 1.36055 0.233 0.113 0.037
src8292 269.65510 1.56886 0.233 0.112 0.036
src8293 269.56232 1.09186 0.232 0.114 0.037
src8294 269.62938 1.27569 0.232 0.111 0.035
src8295 269.06023 1.70926 0.232 0.107 0.033
src8296 269.61059 1.16964 0.232 0.107 0.033
src8297 269.38576 1.09817 0.232 0.124 0.045
src8298 269.41078 1.13649 0.232 0.120 0.042
src8299 269.38174 1.34562 0.232 0.107 0.033
src8300 269.44245 1.38607 0.232 0.112 0.036
src8301 269.23283 1.34346 0.232 0.108 0.033
src8302 269.51648 1.30054 0.232 0.108 0.034
src8303 269.45898 1.66043 0.232 0.116 0.039
src8304 269.23614 1.36825 0.232 0.136 0.054
src8305 269.46793 1.28354 0.232 0.132 0.051
src8306 269.35145 1.20634 0.232 0.110 0.035
src8307 269.35120 1.57158 0.232 0.114 0.038
src8308 269.36703 1.58322 0.232 0.117 0.039
src8309 269.30140 1.59795 0.232 0.113 0.037
src8310 269.31562 1.55216 0.232 0.112 0.036
src8311 269.14126 1.64194 0.232 0.109 0.034
src8312 269.45849 1.32122 0.232 0.113 0.037
src8313 269.43707 1.35989 0.232 0.111 0.036
src8314 269.03975 1.39149 0.232 0.119 0.041
src8315 269.56006 1.21667 0.232 0.107 0.033
src8316 269.57234 1.17065 0.232 0.124 0.045
src8317 269.33204 1.43818 0.232 0.122 0.043
src8318 269.54843 1.56637 0.232 0.112 0.036
src8319 269.54717 1.00042 0.232 0.108 0.033
src8320 269.36577 1.07587 0.232 0.111 0.036
src8321 269.63687 1.50469 0.232 0.111 0.036
src8322 269.21085 1.23444 0.232 0.117 0.039
src8323 269.47491 1.23251 0.232 0.115 0.039
src8324 269.31483 1.57476 0.232 0.107 0.033
src8325 269.40391 1.16103 0.232 0.145 0.062
src8326 269.57460 1.23430 0.232 0.107 0.033
src8327 269.42787 1.07725 0.232 0.119 0.041
src8328 269.51872 1.06707 0.231 0.126 0.047
src8329 269.24973 1.53063 0.231 0.111 0.036
src8330 269.33662 1.66344 0.231 0.110 0.035
src8331 269.09560 1.23836 0.231 0.143 0.060
src8332 269.13199 1.68329 0.231 0.112 0.036
src8333 269.01462 1.24040 0.231 0.111 0.036
src8334 269.38949 1.40183 0.231 0.106 0.033
src8335 269.00746 1.67379 0.231 0.113 0.037
src8336 269.37925 1.24350 0.231 0.106 0.033
src8337 269.52271 1.12003 0.231 0.117 0.040
src8338 269.69803 1.22423 0.231 0.136 0.054
src8339 269.11903 1.44495 0.231 0.117 0.040
src8340 269.58020 1.28920 0.231 0.120 0.042
src8341 269.33530 1.03985 0.231 0.110 0.035
src8342 269.21480 1.24927 0.231 0.116 0.039
src8343 269.66401 1.50197 0.231 0.115 0.039
src8344 269.09037 1.08664 0.231 0.116 0.039
src8345 269.53306 1.07866 0.231 0.118 0.041
src8346 269.59351 1.11874 0.231 0.109 0.035
src8347 269.23363 1.06416 0.231 0.109 0.035
src8348 269.14733 1.35012 0.231 0.121 0.043
src8349 269.39609 1.10781 0.231 0.111 0.036
src8350 269.03822 1.39931 0.231 0.114 0.038
src8351 269.00002 1.01318 0.231 0.115 0.038
src8352 269.38420 1.18982 0.231 0.110 0.035
src8353 269.42838 1.39861 0.231 0.115 0.039
src8354 269.09134 1.36247 0.231 0.109 0.035
src8355 269.67280 1.58889 0.231 0.138 0.055
src8356 269.28075 1.63001 0.231 0.107 0.033
src8357 269.20445 1.32500 0.231 0.109 0.035
src8358 269.04001 1.64027 0.231 0.116 0.039
src8359 269.24173 1.17798 0.231 0.108 0.034
src8360 269.24235 1.46573 0.231 0.120 0.042
src8361 269.54847 1.47357 0.231 0.112 0.037
src8362 269.27778 1.03324 0.231 0.136 0.054
src8363 269.18946 1.55831 0.231 0.113 0.037
src8364 269.34329 1.20303 0.231 0.147 0.063
src8365 269.14004 1.26167 0.231 0.120 0.042
src8366 269.23993 1.42031 0.231 0.107 0.033
src8367 269.34377 1.37060 0.231 0.109 0.034
src8368 269.11533 1.18871 0.231 0.111 0.036
src8369 269.63726 1.57197 0.231 0.111 0.036
src8370 269.62081 1.36073 0.231 0.117 0.040
src8371 269.51003 1.46254 0.231 0.122 0.044
src8372 269.48012 1.34412 0.231 0.111 0.036
src8373 269.64949 1.22617 0.231 0.118 0.041
src8374 269.65238 1.35980 0.231 0.113 0.037
src8375 269.09471 1.65600 0.231 0.106 0.033
src8376 269.06665 1.07075 0.231 0.108 0.034
src8377 269.53125 1.44466 0.231 0.129 0.049
src8378 269.02668 1.20387 0.231 0.112 0.037
src8379 269.52961 1.25898 0.231 0.113 0.037
src8380 269.04175 1.47668 0.231 0.111 0.036
src8381 269.60875 1.42626 0.231 0.119 0.041
src8382 269.09624 1.70790 0.231 0.111 0.036
src8383 269.61748 1.61379 0.231 0.106 0.033
src8384 269.12224 1.04555 0.231 0.119 0.042
src8385 269.14155 1.58502 0.230 0.106 0.033
src8386 269.46323 1.64894 0.230 0.122 0.044
src8387 269.41434 1.55171 0.230 0.116 0.039
src8388 269.58603 1.53975 0.230 0.115 0.038
src8389 269.46198 1.54253 0.230 0.114 0.038
src8390 269.10702 1.33853 0.230 0.110 0.036
src8391 269.21679 1.08390 0.230 0.113 0.037
src8392 269.35025 1.17518 0.230 0.113 0.037
src8393 269.13424 1.38888 0.230 0.119 0.041
src8394 269.16900 1.16883 0.230 0.112 0.036
src8395 269.35848 1.31574 0.230 0.165 0.080
src8396 269.23456 1.51851 0.230 0.128 0.048
src8397 269.04607 1.17097 0.230 0.120 0.042
src8398 269.20133 1.41186 0.230 0.111 0.036
src8399 269.01558 1.08763 0.230 0.116 0.039
src8400 269.07975 1.30686 0.230 0.111 0.036
src8401 269.15755 1.61249 0.230 0.113 0.038
src8402 269.21655 1.69466 0.230 0.107 0.034
src8403 269.25014 1.31328 0.230 0.108 0.034
src8404 269.38391 1.50133 0.230 0.117 0.040
src8405 269.26260 1.43382 0.230 0.143 0.060
src8406 269.59772 1.20684 0.230 0.118 0.041
src8407 269.29545 1.63661 0.230 0.113 0.037
