# name ra dec flux_a1100 flux_a1400 flux_a2000
src126 269.13971 1.08201 2.519 1.248 0.416
src127 269.05228 1.40296 2.513 1.408 0.531
src128 269.58251 1.36561 2.511 1.189 0.378
src129 269.11204 1.61342 2.499 1.288 0.447
src130 269.23636 1.29160 2.497 1.181 0.375
src131 269.15103 1.36441 2.493 1.396 0.526
src132 269.44301 1.16832 2.479 1.244 0.419
src133 269.48928 1.03046 2.471 1.326 0.479
src134 269.16813 1.69623 2.462 1.528 0.639
src135 269.07850 1.08285 2.462 1.312 0.470
src136 269.70384 1.05299 2.456 1.188 0.386
src137 269.53209 1.02605 2.448 1.206 0.399
src138 269.56498 1.04129 2.444 1.249 0.429
src139 269.24321 1.21117 2.423 1.163 0.374
src140 269.55466 1.69105 2.422 1.188 0.392
src141 269.32985 1.06955 2.422 1.224 0.416
src142 269.02702 1.26269 2.412 1.246 0.433
src143 269.35384 1.30142 2.408 1.259 0.443
src144 269.53297 1.02316 2.406 1.326 0.493
src145 269.41177 1.16101 2.398 1.219 0.417
src146 269.01234 1.33079 2.396 1.173 0.386
src147 269.45373 1.18025 2.387 1.235 0.429
src148 269.57674 1.12796 2.387 1.185 0.395
src149 269.57004 1.17679 2.384 1.215 0.416
src150 269.70434 1.57831 2.380 1.206 0.411
src151 269.53038 1.70887 2.380 1.190 0.400
src152 269.56569 1.17963 2.358 1.187 0.402
src153 269.43873 1.28814 2.356 1.217 0.423
src154 269.37033 1.67998 2.353 1.162 0.385
src155 269.49775 1.32315 2.351 1.124 0.361
src156 269.70328 1.09537 2.335 1.178 0.399
src157 269.70305 1.50342 2.333 1.103 0.350
src158 269.41429 1.48150 2.327 1.182 0.404
src159 269.24981 1.03268 2.320 1.118 0.362
src160 269.35225 1.49335 2.319 1.137 0.375
src161 269.24580 1.31760 2.316 1.104 0.353
src162 269.19005 1.00174 2.310 1.071 0.333
src163 269.19716 1.42735 2.310 1.274 0.473
src164 269.62960 1.25748 2.310 1.297 0.491
src165 269.55120 1.41021 2.306 1.264 0.466
src166 269.35219 1.64658 2.301 1.192 0.415
src167 269.13904 1.61645 2.300 1.112 0.361
src168 269.14468 1.08106 2.291 1.148 0.387
src169 269.55818 1.02454 2.289 1.284 0.485
src170 269.37322 1.33257 2.288 1.115 0.365
src171 269.57965 1.10018 2.288 1.178 0.408
src172 269.21053 1.44752 2.281 1.071 0.338
src173 269.48515 1.30684 2.280 1.066 0.334
src174 269.09853 1.18971 2.277 1.229 0.446
src175 269.42717 1.24033 2.271 1.140 0.384
src176 269.00144 1.67826 2.271 1.096 0.355
src177 269.31816 1.42065 2.270 1.122 0.373
src178 269.33076 1.06602 2.263 1.141 0.387
src179 269.23270 1.28019 2.260 1.125 0.377
src180 269.44229 1.49549 2.254 1.062 0.336
src181 269.56009 1.28054 2.234 1.090 0.357
src182 269.36211 1.43859 2.230 1.070 0.345
src183 269.36227 1.28876 2.223 1.198 0.434
src184 269.62434 1.01183 2.215 1.030 0.321
src185 269.14977 1.30394 2.212 1.136 0.392
src186 269.53313 1.54013 2.210 1.069 0.347
src187 269.51736 1.31068 2.208 1.118 0.380
src188 269.58017 1.32023 2.196 1.052 0.338
src189 269.69192 1.40155 2.190 1.065 0.348
src190 269.03467 1.31120 2.185 1.127 0.391
src191 269.07564 1.63308 2.181 1.035 0.329
src192 269.39870 1.64513 2.179 1.154 0.412
src193 269.10544 1.39749 2.178 1.316 0.536
src194 269.17793 1.57618 2.176 1.020 0.321
src195 269.30906 1.64160 2.175 1.116 0.385
src196 269.51902 1.56153 2.171 1.052 0.343
src197 269.39782 1.23737 2.167 1.064 0.351
src198 269.62597 1.43870 2.166 1.074 0.358
src199 269.45406 1.53603 2.165 1.121 0.391
src200 269.30016 1.59403 2.163 1.195 0.445
src201 269.51505 1.45145 2.163 1.014 0.319
src202 269.18943 1.45604 2.159 1.091 0.371
src203 269.45308 1.63567 2.153 1.069 0.357
src204 269.43292 1.58495 2.151 1.062 0.352
src205 269.38322 1.30166 2.149 1.172 0.431
src206 269.36862 1.31942 2.147 1.031 0.332
src207 269.24757 1.34318 2.145 1.014 0.321
src208 269.15267 1.26502 2.142 0.982 0.302
src209 269.45396 1.41839 2.139 1.084 0.370
src210 269.13916 1.47324 2.134 1.156 0.421
src211 269.49898 1.09505 2.134 1.122 0.397
src212 269.55326 1.46042 2.131 1.046 0.345
src213 269.47741 1.02745 2.125 1.013 0.324
src214 269.08570 1.64723 2.124 1.077 0.367
src215 269.00015 1.13417 2.117 1.103 0.386
src216 269.11862 1.13010 2.106 1.029 0.338
src217 269.37257 1.31674 2.104 1.032 0.340
src218 269.24824 1.10393 2.095 1.011 0.327
src219 269.16186 1.03164 2.093 1.069 0.367
src220 269.50818 1.48256 2.086 0.995 0.319
src221 269.56888 1.06811 2.071 0.993 0.319
src222 269.32471 1.21217 2.069 1.020 0.338
src223 269.10870 1.29945 2.068 1.033 0.347
src224 269.09715 1.33146 2.067 1.042 0.353
src225 269.59381 1.70305 2.066 1.020 0.338
src226 269.48057 1.40469 2.065 1.144 0.427
src227 269.47333 1.60722 2.065 1.011 0.333
src228 269.34771 1.09413 2.065 1.121 0.409
src229 269.27157 1.57720 2.059 1.102 0.397
src230 269.38968 1.48679 2.051 1.026 0.345
src231 269.05138 1.42082 2.049 1.062 0.370
src232 269.33466 1.38683 2.046 1.017 0.340
src233 269.69155 1.43640 2.045 1.066 0.374
src234 269.09964 1.12819 2.039 1.000 0.329
src235 269.13666 1.52512 2.027 0.940 0.292
src236 269.08673 1.09923 2.026 1.034 0.354
src237 269.42347 1.44231 2.024 0.980 0.319
src238 269.32064 1.65599 2.021 1.018 0.345
src239 269.11620 1.30826 2.018 1.009 0.339
src240 269.60789 1.61409 2.017 0.993 0.329
src241 269.59237 1.63507 1.994 1.037 0.363
src242 269.43869 1.59494 1.992 0.984 0.327
src243 269.02661 1.38956 1.991 0.944 0.300
src244 269.53447 1.21236 1.988 0.990 0.332
src245 269.62943 1.26843 1.987 0.975 0.321
src246 269.20571 1.00033 1.978 1.026 0.358
src247 269.34253 1.49492 1.971 1.155 0.456
src248 269.06422 1.31928 1.952 1.129 0.440
src249 269.07932 1.32141 1.951 0.980 0.331
src250 269.48771 1.66692 1.947 1.063 0.391
src251 269.22057 1.23276 1.947 0.926 0.295
src252 269.43545 1.19068 1.946 0.984 0.334
src253 269.67642 1.20481 1.945 0.929 0.298
src254 269.30158 1.12699 1.938 1.044 0.378
src255 269.48461 1.46747 1.933 0.930 0.301
src256 269.17287 1.41562 1.933 0.892 0.276
src257 269.37815 1.17477 1.932 1.031 0.370
src258 269.58640 1.11190 1.924 1.068 0.399
src259 269.46920 1.11651 1.922 0.912 0.291
src260 269.29362 1.70183 1.921 0.950 0.316
src261 269.19189 1.50274 1.920 1.042 0.381
src262 269.61261 1.06271 1.911 0.962 0.326
src263 269.59539 1.18381 1.909 0.907 0.289
src264 269.06079 1.48004 1.909 0.889 0.278
src265 269.53211 1.32355 1.908 0.982 0.340
src266 269.25271 1.61272 1.900 0.987 0.345
src267 269.30094 1.05357 1.897 0.916 0.297
src268 269.02161 1.25053 1.893 0.922 0.302
src269 269.44951 1.38992 1.891 0.903 0.289
src270 269.49015 1.57552 1.887 0.994 0.352
src271 269.03956 1.16415 1.885 0.922 0.303
src272 269.01922 1.31657 1.873 0.949 0.323
src273 269.36154 1.51683 1.873 0.938 0.316
src274 269.30025 1.18992 1.868 0.922 0.306
src275 269.41972 1.37091 1.867 1.011 0.369
src276 269.49082 1.06446 1.865 1.004 0.364
src277 269.62921 1.55675 1.862 0.936 0.316
src278 269.44130 1.34227 1.861 0.894 0.289
src279 269.42200 1.18122 1.855 0.942 0.322
src280 269.50820 1.02266 1.850 0.974 0.345
src281 269.15596 1.12701 1.844 0.975 0.347
src282 269.02170 1.20526 1.844 0.974 0.346
src283 269.25088 1.03722 1.840 0.995 0.362
src284 269.24189 1.26613 1.840 0.888 0.288
src285 269.31738 1.67293 1.838 0.877 0.281
src286 269.37823 1.42270 1.835 0.918 0.309
src287 269.45885 1.35877 1.835 1.022 0.384
src288 269.31048 1.67018 1.831 0.938 0.323
src289 269.56343 1.31230 1.829 0.896 0.295
src290 269.60099 1.56620 1.827 1.014 0.379
src291 269.22729 1.43371 1.824 0.944 0.329
src292 269.39263 1.29865 1.822 0.960 0.341
src293 269.35679 1.62509 1.822 0.941 0.327
src294 269.05745 1.12262 1.809 0.980 0.358
src295 269.14417 1.18520 1.808 0.941 0.330
src296 269.56060 1.52892 1.806 0.876 0.286
src297 269.17754 1.64010 1.805 0.848 0.267
src298 269.10477 1.48408 1.803 0.925 0.319
src299 269.18755 1.36527 1.801 0.901 0.303
src300 269.32874 1.19323 1.800 0.937 0.328
src301 269.17817 1.64959 1.799 0.890 0.296
src302 269.37646 1.62678 1.798 0.884 0.292
src303 269.50424 1.57821 1.795 0.946 0.335
